episode,access_rate
0,0.42666666666666675
1,0.5066666666666667
2,0.5377777777777779
3,0.5333333333333333
4,0.5253333333333332
5,0.5177777777777778
6,0.5257142857142858
7,0.525
8,0.5229629629629632
9,0.5266666666666666
10,0.5284848484848486
11,0.5344444444444445
12,0.5323076923076924
13,0.5295238095238096
14,0.528
15,0.5258333333333334
16,0.5239215686274511
17,0.5192592592592592
18,0.5171929824561403
19,0.5173333333333333
20,0.5155555555555555
21,0.513939393939394
22,0.513623188405797
23,0.5155555555555557
24,0.5168
25,0.5169230769230769
26,0.514567901234568
27,0.5147619047619049
28,0.5149425287356322
29,0.516
30,0.5174193548387097
31,0.5204166666666666
32,0.522020202020202
33,0.5243137254901961
34,0.5230476190476191
35,0.5222222222222223
36,0.522882882882883
37,0.5217543859649122
38,0.5223931623931625
39,0.5229999999999999
40,0.5222764227642276
41,0.5203174603174603
42,0.5193798449612403
43,0.5187878787878788
44,0.5191111111111111
45,0.5202898550724637
46,0.5222695035460994
47,0.5213888888888889
48,0.5229931972789116
49,0.5248
50,0.5257516339869281
51,0.5266666666666667
52,0.5272955974842768
53,0.5276543209876544
54,0.528969696969697
55,0.5292857142857144
56,0.5302923976608187
57,0.5298850574712644
58,0.5297175141242937
59,0.5308888888888889
60,0.5300546448087432
61,0.5305376344086021
62,0.5297354497354497
63,0.529375
64,0.5312820512820513
65,0.5319191919191918
66,0.5317412935323382
67,0.5315686274509804
68,0.531207729468599
69,0.5308571428571429
70,0.531643192488263
71,0.532037037037037
72,0.5338812785388128
73,0.534054054054054
74,0.5344
75,0.5343859649122807
76,0.5341991341991342
77,0.534017094017094
78,0.5345147679324895
79,0.5348333333333333
80,0.5356378600823045
81,0.5356097560975609
82,0.5357429718875502
83,0.5355555555555556
84,0.535843137254902
85,0.5351937984496123
86,0.5347126436781608
87,0.5340909090909091
88,0.5337827715355805
89,0.5348148148148149
90,0.5353846153846155
91,0.5344927536231884
92,0.5350537634408602
93,0.5353191489361702
94,0.5359999999999999
95,0.5365277777777778
96,0.5362199312714777
97,0.5365986394557823
98,0.5373737373737374
99,0.5378666666666666
100,0.5380858085808581
101,0.5386928104575164
102,0.5386407766990291
103,0.5384615384615384
104,0.5389206349206349
105,0.5389937106918239
106,0.5398130841121496
107,0.5395061728395062
108,0.5393272171253823
109,0.5402424242424243
110,0.5406606606606607
111,0.5414285714285715
112,0.5423008849557522
113,0.5428070175438596
114,0.5430724637681159
115,0.5442528735632184
116,0.5438176638176638
117,0.5448587570621469
118,0.5446498599439776
119,0.5444444444444444
120,0.5452341597796143
121,0.5459016393442623
122,0.546449864498645
123,0.5453763440860215
124,0.5458133333333334
125,0.5455026455026455
126,0.5454068241469816
127,0.54625
128,0.5471834625322998
129,0.5471794871794872
130,0.5471755725190839
131,0.5471717171717172
132,0.547468671679198
133,0.5473631840796019
134,0.5476543209876543
135,0.5485294117647059
136,0.5488077858880779
137,0.5493719806763284
138,0.5494484412470024
139,0.5488571428571429
140,0.5492198581560284
141,0.5499530516431925
142,0.5504895104895104
143,0.5510185185185185
144,0.5508045977011494
145,0.5503196347031962
146,0.5509297052154195
147,0.5512612612612613
148,0.5506040268456377
149,0.5510222222222222
150,0.5514348785871964
151,0.552280701754386
152,0.5528540305010893
153,0.5532467532467532
154,0.5532043010752687
155,0.5535042735042734
156,0.5537154989384289
157,0.5544303797468354
158,0.5546331236897275
159,0.555
160,0.5556107660455486
161,0.5558847736625514
162,0.556482617586912
163,0.5564227642276423
164,0.5565252525252524
165,0.5567871485943775
166,0.5566467065868262
167,0.5566666666666668
168,0.557396449704142
169,0.5578039215686275
170,0.5580506822612086
171,0.5584496124031008
172,0.5586897880539499
173,0.5590804597701149
174,0.5596952380952381
175,0.5601515151515152
176,0.5603013182674199
177,0.5601498127340824
178,0.5608193668528864
179,0.5614814814814815
180,0.561767955801105
181,0.5624175824175824
182,0.5624043715846995
183,0.5627536231884058
184,0.563027027027027
185,0.563010752688172
186,0.5637789661319074
187,0.5638297872340425
188,0.5640917107583774
189,0.5647017543859649
190,0.5650261780104712
191,0.5652083333333334
192,0.5655267702936096
193,0.5654982817869415
194,0.5654700854700855
195,0.5655102040816327
196,0.5656852791878173
197,0.5661952861952863
198,0.5665661641541038
199,0.5666666666666667
200,0.5669651741293532
